+------------------------------------------+-------------+
| Variable_name                            | Value       |  HANDLED
+------------------------------------------+-------------+
| Aborted_clients                          | 18          |  *
| Aborted_connects                         | 65          |  *
| Binlog_cache_disk_use                    | 0           |
| Binlog_cache_use                         | 1121681     |
| Binlog_stmt_cache_disk_use               | 0           |
| Binlog_stmt_cache_use                    | 0           |
| Bytes_received                           | 1515504559  |  *
| Bytes_sent                               | 12050044249 |  *
| Com_admin_commands                       | 5           |
| Com_assign_to_keycache                   | 0           |
| Com_alter_db                             | 0           |
| Com_alter_db_upgrade                     | 0           |
| Com_alter_event                          | 0           |
| Com_alter_function                       | 0           |
| Com_alter_procedure                      | 0           |
| Com_alter_server                         | 0           |
| Com_alter_table                          | 134         |
| Com_alter_tablespace                     | 0           |
| Com_analyze                              | 0           |
| Com_begin                                | 1310557     | *
| Com_binlog                               | 0           |
| Com_call_procedure                       | 0           |
| Com_change_db                            | 7143        |
| Com_change_master                        | 0           |
| Com_check                                | 0           |
| Com_checksum                             | 0           |
| Com_commit                               | 1310571     | *
| Com_create_db                            | 6           |
| Com_create_event                         | 0           |
| Com_create_function                      | 0           |
| Com_create_index                         | 166         |
| Com_create_procedure                     | 0           |
| Com_create_server                        | 0           |
| Com_create_table                         | 109         |
| Com_create_trigger                       | 0           |
| Com_create_udf                           | 0           |
| Com_create_user                          | 0           |
| Com_create_view                          | 0           |
| Com_dealloc_sql                          | 0           |
| Com_delete                               | 124998      |  *
| Com_delete_multi                         | 0           |
| Com_do                                   | 0           |
| Com_drop_db                              | 0           |
| Com_drop_event                           | 0           |
| Com_drop_function                        | 0           |
| Com_drop_index                           | 0           |
| Com_drop_procedure                       | 0           |
| Com_drop_server                          | 0           |
| Com_drop_table                           | 0           |
| Com_drop_trigger                         | 0           |
| Com_drop_user                            | 0           |
| Com_drop_view                            | 0           |
| Com_empty_query                          | 0           |
| Com_execute_sql                          | 0           |
| Com_flush                                | 4           |
| Com_grant                                | 6           |
| Com_ha_close                             | 0           |
| Com_ha_open                              | 0           |
| Com_ha_read                              | 0           |
| Com_help                                 | 0           |
| Com_insert                               | 69320       | *
| Com_insert_select                        | 0           |
| Com_install_plugin                       | 0           |
| Com_kill                                 | 0           |
| Com_load                                 | 0           |
| Com_lock_tables                          | 0           |
| Com_optimize                             | 0           |
| Com_preload_keys                         | 0           |
| Com_prepare_sql                          | 0           |
| Com_purge                                | 0           |
| Com_purge_before_date                    | 0           |
| Com_release_savepoint                    | 0           |
| Com_rename_table                         | 0           |
| Com_rename_user                          | 0           |
| Com_repair                               | 0           |
| Com_replace                              | 0           |
| Com_replace_select                       | 0           |
| Com_reset                                | 0           |
| Com_resignal                             | 0           |
| Com_revoke                               | 0           |
| Com_revoke_all                           | 0           |
| Com_rollback                             | 3           | *
| Com_rollback_to_savepoint                | 0           |
| Com_savepoint                            | 0           |
| Com_select                               | 6874401     | *
| Com_set_option                           | 250492      |
| Com_signal                               | 0           |
| Com_show_authors                         | 0           |
| Com_show_binlog_events                   | 0           |
| Com_show_binlogs                         | 0           |
| Com_show_charsets                        | 0           |
| Com_show_collations                      | 0           |
| Com_show_contributors                    | 0           |
| Com_show_create_db                       | 0           |
| Com_show_create_event                    | 0           |
| Com_show_create_func                     | 0           |
| Com_show_create_proc                     | 0           |
| Com_show_create_table                    | 0           |
| Com_show_create_trigger                  | 0           |
| Com_show_databases                       | 2           |
| Com_show_engine_logs                     | 0           |
| Com_show_engine_mutex                    | 0           |
| Com_show_engine_status                   | 0           |
| Com_show_events                          | 0           |
| Com_show_errors                          | 0           |
| Com_show_fields                          | 34          |
| Com_show_function_status                 | 0           |
| Com_show_grants                          | 10          |
| Com_show_keys                            | 0           |
| Com_show_master_status                   | 0           |
| Com_show_open_tables                     | 0           |
| Com_show_plugins                         | 0           |
| Com_show_privileges                      | 0           |
| Com_show_procedure_status                | 0           |
| Com_show_processlist                     | 0           |
| Com_show_profile                         | 0           |
| Com_show_profiles                        | 0           |
| Com_show_relaylog_events                 | 0           |
| Com_show_slave_hosts                     | 0           |
| Com_show_slave_status                    | 0           |
| Com_show_status                          | 3           |
| Com_show_storage_engines                 | 0           |
| Com_show_table_status                    | 0           |
| Com_show_tables                          | 77994       |
| Com_show_triggers                        | 0           |
| Com_show_variables                       | 9           |
| Com_show_warnings                        | 0           |
| Com_slave_start                          | 0           | *
| Com_slave_stop                           | 0           | *
| Com_stmt_close                           | 0           |
| Com_stmt_execute                         | 0           |
| Com_stmt_fetch                           | 0           |
| Com_stmt_prepare                         | 0           |
| Com_stmt_reprepare                       | 0           |
| Com_stmt_reset                           | 0           |
| Com_stmt_send_long_data                  | 0           |
| Com_truncate                             | 0           |
| Com_uninstall_plugin                     | 0           |
| Com_unlock_tables                        | 0           |
| Com_update                               | 1280063     | *
| Com_update_multi                         | 0           |
| Com_xa_commit                            | 0           |
| Com_xa_end                               | 0           |
| Com_xa_prepare                           | 0           |
| Com_xa_recover                           | 0           |
| Com_xa_rollback                          | 0           |
| Com_xa_start                             | 0           |
| Compression                              | OFF         |
| Connections                              | 342856      | *
| Created_tmp_disk_tables                  | 70299       | *
| Created_tmp_files                        | 338         | *
| Created_tmp_tables                       | 842836      | *
| Delayed_errors                           | 0           |
| Delayed_insert_threads                   | 0           |
| Delayed_writes                           | 0           |
| Flush_commands                           | 1           |
| Handler_commit                           | 12033804    |
| Handler_delete                           | 2626532     |
| Handler_discover                         | 0           |
| Handler_prepare                          | 4774214     |
| Handler_read_first                       | 793747      |
| Handler_read_key                         | 162581468   |
| Handler_read_last                        | 3141        |
| Handler_read_next                        | 202869018   |
| Handler_read_prev                        | 54423       |
| Handler_read_rnd                         | 6500043     |
| Handler_read_rnd_next                    | 44886752    |
| Handler_rollback                         | 3           |
| Handler_savepoint                        | 0           |
| Handler_savepoint_rollback               | 0           |
| Handler_update                           | 6590042     |
| Handler_write                            | 22304952    |
| Innodb_buffer_pool_pages_data            | 43533       |
| Innodb_buffer_pool_bytes_data            | 713244672   |
| Innodb_buffer_pool_pages_dirty           | 1599        |
| Innodb_buffer_pool_bytes_dirty           | 26198016    |
| Innodb_buffer_pool_pages_flushed         | 1473786     |
| Innodb_buffer_pool_pages_free            | 18162       |
| Innodb_buffer_pool_pages_misc            | 3841        |
| Innodb_buffer_pool_pages_total           | 65536       |
| Innodb_buffer_pool_read_ahead_rnd        | 0           |
| Innodb_buffer_pool_read_ahead            | 2495        |
| Innodb_buffer_pool_read_ahead_evicted    | 0           |
| Innodb_buffer_pool_read_requests         | 801829148   |
| Innodb_buffer_pool_reads                 | 25861       |
| Innodb_buffer_pool_wait_free             | 0           |
| Innodb_buffer_pool_write_requests        | 36636486    |
| Innodb_data_fsyncs                       | 119644      | *
| Innodb_data_pending_fsyncs               | 0           |
| Innodb_data_pending_reads                | 0           |
| Innodb_data_pending_writes               | 0           |
| Innodb_data_read                         | 478466048   | *
| Innodb_data_reads                        | 29800       | *
| Innodb_data_writes                       | 3796184     | *
| Innodb_data_written                      | 26801091584 | *
| Innodb_dblwr_pages_written               | 0           |
| Innodb_dblwr_writes                      | 0           |
| Innodb_have_atomic_builtins              | ON          |
| Innodb_log_waits                         | 0           |
| Innodb_log_write_requests                | 3134582     |
| Innodb_log_writes                        | 2312629     |
| Innodb_os_log_fsyncs                     | 75257       |
| Innodb_os_log_pending_fsyncs             | 0           |
| Innodb_os_log_pending_writes             | 0           |
| Innodb_os_log_written                    | 2650403840  |
| Innodb_page_size                         | 16384       |
| Innodb_pages_created                     | 14464       |
| Innodb_pages_read                        | 29069       |
| Innodb_pages_written                     | 1473786     |
| Innodb_row_lock_current_waits            | 0           |
| Innodb_row_lock_time                     | 33          |
| Innodb_row_lock_time_avg                 | 0           |
| Innodb_row_lock_time_max                 | 1           |
| Innodb_row_lock_waits                    | 114         |
| Innodb_rows_deleted                      | 2626532     | *
| Innodb_rows_inserted                     | 2288793     | *
| Innodb_rows_read                         | 270407229   | *
| Innodb_rows_updated                      | 2743105     | *
| Innodb_truncated_status_writes           | 0           |
| Key_blocks_not_flushed                   | 0           |
| Key_blocks_unused                        | 13392       |
| Key_blocks_used                          | 5           |
| Key_read_requests                        | 204459      |
| Key_reads                                | 4           |
| Key_write_requests                       | 136230      |
| Key_writes                               | 3           |
| Last_query_cost                          | 0.000000    |
| Max_used_connections                     | 64          |
| Not_flushed_delayed_rows                 | 0           |
| Open_files                               | 47          | *
| Open_streams                             | 0           |
| Open_table_definitions                   | 411         |
| Open_tables                              | 497         | *
| Opened_files                             | 285114      | *
| Opened_table_definitions                 | 2631        | *
| Opened_tables                            | 1278        | *
| Performance_schema_cond_classes_lost     | 0           |
| Performance_schema_cond_instances_lost   | 0           |
| Performance_schema_file_classes_lost     | 0           |
| Performance_schema_file_handles_lost     | 0           |
| Performance_schema_file_instances_lost   | 0           |
| Performance_schema_locker_lost           | 0           |
| Performance_schema_mutex_classes_lost    | 0           |
| Performance_schema_mutex_instances_lost  | 0           |
| Performance_schema_rwlock_classes_lost   | 0           |
| Performance_schema_rwlock_instances_lost | 0           |
| Performance_schema_table_handles_lost    | 0           |
| Performance_schema_table_instances_lost  | 0           |
| Performance_schema_thread_classes_lost   | 0           |
| Performance_schema_thread_instances_lost | 0           |
| Prepared_stmt_count                      | 0           |
| Qcache_free_blocks                       | 0           |
| Qcache_free_memory                       | 0           |
| Qcache_hits                              | 0           |
| Qcache_inserts                           | 0           |
| Qcache_lowmem_prunes                     | 0           |
| Qcache_not_cached                        | 0           |
| Qcache_queries_in_cache                  | 0           |
| Qcache_total_blocks                      | 0           |
| Queries                                  | 11648742    |
| Questions                                | 11648736    |
| Rpl_status                               | AUTH_MASTER |
| Select_full_join                         | 44454       |
| Select_full_range_join                   | 0           |
| Select_range                             | 1242278     |
| Select_range_check                       | 0           |
| Select_scan                              | 832510      |
| Slave_heartbeat_period                   | 0.000       |
| Slave_open_temp_tables                   | 0           |
| Slave_received_heartbeats                | 0           |
| Slave_retried_transactions               | 0           |
| Slave_running                            | OFF         |
| Slow_launch_threads                      | 0           |
| Slow_queries                             | 1           |
| Sort_merge_passes                        | 0           |
| Sort_range                               | 244895      |
| Sort_rows                                | 27492119    |
| Sort_scan                                | 4315850     |
| Ssl_accept_renegotiates                  | 0           |
| Ssl_accepts                              | 0           |
| Ssl_callback_cache_hits                  | 0           |
| Ssl_cipher                               |             |
| Ssl_cipher_list                          |             |
| Ssl_client_connects                      | 0           |
| Ssl_connect_renegotiates                 | 0           |
| Ssl_ctx_verify_depth                     | 0           |
| Ssl_ctx_verify_mode                      | 0           |
| Ssl_default_timeout                      | 0           |
| Ssl_finished_accepts                     | 0           |
| Ssl_finished_connects                    | 0           |
| Ssl_session_cache_hits                   | 0           |
| Ssl_session_cache_misses                 | 0           |
| Ssl_session_cache_mode                   | NONE        |
| Ssl_session_cache_overflows              | 0           |
| Ssl_session_cache_size                   | 0           |
| Ssl_session_cache_timeouts               | 0           |
| Ssl_sessions_reused                      | 0           |
| Ssl_used_session_cache_entries           | 0           |
| Ssl_verify_depth                         | 0           |
| Ssl_verify_mode                          | 0           |
| Ssl_version                              |             |
| Table_locks_immediate                    | 12318586    |
| Table_locks_waited                       | 0           |
| Tc_log_max_pages_used                    | 0           |
| Tc_log_page_size                         | 0           |
| Tc_log_page_waits                        | 0           |
| Threads_cached                           | 2           | *
| Threads_connected                        | 62          | *
| Threads_created                          | 64          |
| Threads_running                          | 1           |
| Uptime                                   | 82548       |
| Uptime_since_flush_status                | 82548       |
+------------------------------------------+-------------+
