echo "show stat" | socat - UNIX-CONNECT:/var/lib/haproxy/stats

# pxname,svname,qcur,qmax,scur,smax,slim,stot,bin,bout,dreq,dresp,ereq,econ,eresp,wretr,wredis,status,weight,act,bck,chkfail,chkdown,lastchg,downtime,qlimit,pid,iid,sid,throttle,lbtot,tracked,type,rate,rate_lim,rate_max,check_status,check_code,check_duration,hrsp_1xx,hrsp_2xx,hrsp_3xx,hrsp_4xx,hrsp_5xx,hrsp_other,hanafail,req_rate,req_rate_max,req_tot,cli_abrt,srv_abrt,comp_in,comp_out,comp_byp,comp_rsp,lastsess,last_chk,last_agt,qtime,ctime,rtime,ttime,agent_status,agent_code,agent_duration,check_desc,agent_desc,check_rise,check_fall,check_health,agent_rise,agent_fall,agent_health,addr,cookie,mode,algo,conn_rate,conn_rate_max,conn_tot,intercepted,dcon,dses,
stats,FRONTEND,,,1,1,3000,5,408,198145,0,0,0,,,,,OPEN,,,,,,,,,1,2,0,,,,0,1,0,1,,,,0,4,0,0,0,0,,1,1,5,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,http,,1,1,5,5,0,0,
stats,BACKEND,0,0,0,0,300,0,408,198145,0,0,,0,0,0,0,UP,0,0,0,,0,97470,,,1,2,0,,0,,1,0,,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,,,,,,,,,,,,,,http,,,,,,,,
"httpzzz,FRONTEND,,,8,17,3000,41357,37672792,140101622,0,0,97,,,,,OPEN,,,,,,,,,1,3,0,,,,0,0,0,27,,,,0,47573,0,165,472,0,,0,31,48210,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,http,,0,27,41359,0,0,0,
"httpzzz,FRONTEND,,,0,1,3000,1625,199875,781625,0,0,0,,,,,OPEN,,,,,,,,,1,4,0,,,,0,0,0,1,,,,0,1625,0,0,0,0,,0,1,1625,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,http,,0,1,1625,0,0,0,
"httpzzz,FRONTEND,,,0,0,3000,0,0,0,0,0,0,,,,,OPEN,,,,,,,,,1,5,0,,,,0,0,0,0,,,,0,0,0,0,0,0,,0,0,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,http,,0,0,0,0,0,0,
"httpzzz,FRONTEND,,,11,44,3000,35230,213195266,238726791,0,0,307,,,,,OPEN,,,,,,,,,1,6,0,,,,0,1,0,16,,,,0,100667,86,39048,1770,10,,4,61,141581,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,http,,1,16,35230,0,0,0,
"httpzzz,FRONTEND,,,0,0,3000,0,0,0,0,0,0,,,,,OPEN,,,,,,,,,1,7,0,,,,0,0,0,0,,,,0,0,0,0,0,0,,0,0,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,http,,0,0,0,0,0,0,
"httpzzz,FRONTEND,,,0,1,3000,1625,229125,3948750,0,0,0,,,,,OPEN,,,,,,,,,1,8,0,,,,0,0,0,1,,,,0,1625,0,0,0,0,,0,1,1625,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,http,,0,1,1625,0,0,0,
"httpzzz,FRONTEND,,,0,0,3000,0,0,0,0,0,0,,,,,OPEN,,,,,,,,,1,9,0,,,,0,0,0,0,,,,0,0,0,0,0,0,,0,0,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,http,,0,0,0,0,0,0,
"httpzzz,FRONTEND,,,0,12,3000,13659,12798988,64612377,0,0,88,,,,,OPEN,,,,,,,,,1,10,0,,,,0,0,0,9,,,,0,12876,1628,913,0,0,,0,24,15417,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,http,,0,9,13664,0,0,0,
"httpzzz,FRONTEND,,,0,0,3000,0,0,0,0,0,0,,,,,OPEN,,,,,,,,,1,11,0,,,,0,0,0,0,,,,0,0,0,0,0,0,,0,0,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,http,,0,0,0,0,0,0,
"httpzzz,FRONTEND,,,0,0,3000,0,0,0,0,0,0,,,,,OPEN,,,,,,,,,1,12,0,,,,0,0,0,0,,,,0,0,0,0,0,0,,0,0,0,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,http,,0,0,0,0,0,0,
