+-----------------------------------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Counter                                       | Value                                                                                                                                                                            |
+-----------------------------------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| uptime                                        | 941815                                                                                                                                                                           |
| connections                                   | 2962                                                                                                                                                                             |
| maxed_out                                     | 0                                                                                                                                                                                |
| version                                       | 14.1.0 2b53a9307@25110709 (columnar 8.1.0 e1522a2@25100213) (secondary 8.1.0 e1522a2@25100213) (knn 8.1.0 e1522a2@25100213) (embeddings 1.0.1) (buddy v3.37.0+25110512-4eee6020) |
| mysql_version                                 | 14.1.0 2b53a9307@25110709 (columnar 8.1.0 e1522a2@25100213) (secondary 8.1.0 e1522a2@25100213) (knn 8.1.0 e1522a2@25100213) (embeddings 1.0.1)                                   |
| command_search                                | 406                                                                                                                                                                              |
| command_excerpt                               | 0                                                                                                                                                                                |
| command_update                                | 0                                                                                                                                                                                |
| command_keywords                              | 0                                                                                                                                                                                |
| command_persist                               | 1016                                                                                                                                                                             |
| command_status                                | 5109                                                                                                                                                                             |
| command_flushattrs                            | 0                                                                                                                                                                                |
| command_sphinxql                              | 0                                                                                                                                                                                |
| command_ping                                  | 0                                                                                                                                                                                |
| command_delete                                | 191                                                                                                                                                                              |
| command_set                                   | 18                                                                                                                                                                               |
| command_insert                                | 1249                                                                                                                                                                             |
| command_replace                               | 155                                                                                                                                                                              |
| command_commit                                | 0                                                                                                                                                                                |
| command_suggest                               | 0                                                                                                                                                                                |
| command_json                                  | 0                                                                                                                                                                                |
| command_callpq                                | 0                                                                                                                                                                                |
| command_cluster                               | 2494                                                                                                                                                                             |
| command_getfield                              | 0                                                                                                                                                                                |
| insert_replace_stats_ms_avg                   | N/A N/A N/A                                                                                                                                                                      |
| insert_replace_stats_ms_min                   | N/A N/A N/A                                                                                                                                                                      |
| insert_replace_stats_ms_max                   | N/A N/A N/A                                                                                                                                                                      |
| insert_replace_stats_ms_pct95                 | N/A N/A N/A                                                                                                                                                                      |
| insert_replace_stats_ms_pct99                 | N/A N/A N/A                                                                                                                                                                      |
| search_stats_ms_avg                           | N/A N/A N/A                                                                                                                                                                      |
| search_stats_ms_min                           | N/A N/A N/A                                                                                                                                                                      |
| search_stats_ms_max                           | N/A N/A N/A                                                                                                                                                                      |
| search_stats_ms_pct95                         | N/A N/A N/A                                                                                                                                                                      |
| search_stats_ms_pct99                         | N/A N/A N/A                                                                                                                                                                      |
| update_stats_ms_avg                           | N/A N/A N/A                                                                                                                                                                      |
| update_stats_ms_min                           | N/A N/A N/A                                                                                                                                                                      |
| update_stats_ms_max                           | N/A N/A N/A                                                                                                                                                                      |
| update_stats_ms_pct95                         | N/A N/A N/A                                                                                                                                                                      |
| update_stats_ms_pct99                         | N/A N/A N/A                                                                                                                                                                      |
| agent_connect                                 | 1451                                                                                                                                                                             |
| agent_tfo                                     | 0                                                                                                                                                                                |
| agent_retry                                   | 0                                                                                                                                                                                |
| queries                                       | 392                                                                                                                                                                              |
| dist_queries                                  | 0                                                                                                                                                                                |
| workers_total                                 | 2                                                                                                                                                                                |
| workers_active                                | 4                                                                                                                                                                                |
| workers_clients                               | 1                                                                                                                                                                                |
| workers_clients_vip                           | 0                                                                                                                                                                                |
| workers_clients_buddy                         | 2                                                                                                                                                                                |
| work_queue_length                             | 12                                                                                                                                                                               |
| load                                          | 0.00 0.02 0.01                                                                                                                                                                   |
| load_primary                                  | 0.00 0.00 0.00                                                                                                                                                                   |
| load_secondary                                | 0.00 0.00 0.00                                                                                                                                                                   |
| query_wall                                    | 0.077                                                                                                                                                                            |
| query_cpu                                     | OFF                                                                                                                                                                              |
| dist_wall                                     | 0.000                                                                                                                                                                            |
| dist_local                                    | 0.000                                                                                                                                                                            |
| dist_wait                                     | 0.000                                                                                                                                                                            |
| query_reads                                   | OFF                                                                                                                                                                              |
| query_readkb                                  | OFF                                                                                                                                                                              |
| query_readtime                                | OFF                                                                                                                                                                              |
| avg_query_wall                                | 0.000                                                                                                                                                                            |
